page_type,name,url_slug,tier,primary_keyword,secondary_keywords,meta_title,meta_description,h1,assigned_blog,canonical,index_directive
hub,All Earrings,/earrings,Tier 1,earrings for women,"artificial earrings; imitation earrings; fashion earrings; anti-tarnish earrings online",Earrings for Women Online | Pearl Bloom,"Shop earrings for women online at Pearl Bloom — studs, hoops, jhumkas and more in anti-tarnish, skin-safe gold-tone. Affordable everyday-to-bridal styles.","Artificial Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings,"index,follow"
style,Stud,/earrings/style/stud,Tier 1,stud earrings,"stud earrings for women; gold stud earrings; small studs; daily stud earrings",Stud Earrings for Women | Pearl Bloom,"Shop stud earrings for women at Pearl Bloom — lightweight, anti-tarnish and skin-safe gold-tone studs for daily wear. Find your everyday pair today.","Stud Earrings for Women",stud-earrings-everyday-style-guide,https://pearlbloom.in/earrings/style/stud,"index,follow"
style,Hoop,/earrings/style/hoop,Tier 1,hoop earrings,"hoop earrings for women; gold hoops; small hoops; chunky hoops",Hoop Earrings for Women | Pearl Bloom,"Discover hoop earrings for women at Pearl Bloom — from thin everyday gold-tone hoops to bold loops, all anti-tarnish and skin-safe. Shop the edit now.","Hoop Earrings for Women",how-to-style-hoop-earrings-face-shape,https://pearlbloom.in/earrings/style/hoop,"index,follow"
style,Drop,/earrings/style/drop,Tier 1,drop earrings,"drop earrings for women; gold drop earrings; tear drop earrings; party drop earrings",Drop Earrings for Women | Pearl Bloom,"Shop drop earrings for women at Pearl Bloom — graceful gold-tone drops that catch the light, lightweight and anti-tarnish. Find your perfect fall today.","Drop Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings/style/drop,"index,follow"
style,Dangle,/earrings/style/dangle,Tier 2,dangle earrings,"dangle earrings for women; long dangle earrings; gold dangle earrings",Dangle Earrings for Women | Pearl Bloom,"Shop dangle earrings for women at Pearl Bloom — shimmering gold-tone movement that's light on the lobe and anti-tarnish. Add a little sway to any look.","Dangle Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings/style/dangle,"index,follow"
style,Statement,/earrings/style/statement,Tier 1,statement earrings,"statement earrings for women; big earrings; bold earrings; party statement earrings",Statement Earrings for Women | Pearl Bloom,"Shop statement earrings for women at Pearl Bloom — bold, head-turning designs that stay light and anti-tarnish. Make every outfit's final word count.","Statement Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings/style/statement,"index,follow"
style,Jhumka,/earrings/style/jhumka,Tier 1,jhumka earrings,"jhumkas online; gold jhumka earrings; oxidised jhumka; festive jhumka earrings",Jhumka Earrings Online | Pearl Bloom,"Shop jhumka earrings online at Pearl Bloom — classic bell-domed jhumkas in lightweight, anti-tarnish gold-tone for festive and daily wear. Buy now.","Jhumka Earrings for Women",how-to-style-jhumkas-and-chandbalis,https://pearlbloom.in/earrings/style/jhumka,"index,follow"
style,Chandbali,/earrings/style/chandbali,Tier 1,chandbali earrings,"chandbali earrings online; bridal chandbali; gold chandbali; festive chandbali earrings",Chandbali Earrings Online | Pearl Bloom,"Shop chandbali earrings at Pearl Bloom — regal crescent designs for festive and bridal looks, lightweight and skin-safe. Find your statement pair today.","Chandbali Earrings for Women",how-to-style-jhumkas-and-chandbalis,https://pearlbloom.in/earrings/style/chandbali,"index,follow"
style,Ear Cuffs,/earrings/style/ear-cuffs,Tier 2,ear cuffs,"ear cuff earrings; no piercing earrings; gold ear cuffs; ear cuffs for women",Ear Cuffs for Women | Pearl Bloom,"Shop ear cuffs for women at Pearl Bloom — no-piercing sculptural cuffs in skin-safe, anti-tarnish gold-tone. Get the editorial ear look in seconds.","Ear Cuff Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings/style/ear-cuffs,"index,follow"
style,Mismatch,/earrings/style/mismatch,Tier 2,mismatch earrings,"mismatched earrings; asymmetric earrings; trendy earrings for women",Mismatch Earrings for Women | Pearl Bloom,"Shop mismatch earrings for women at Pearl Bloom — curated asymmetric pairs in lightweight, anti-tarnish gold-tone. Break the rules beautifully today.","Mismatch Earrings for Women",types-of-earrings-guide,https://pearlbloom.in/earrings/style/mismatch,"index,follow"
